0,Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode)
1,1,1,00:00:00.000,0.000,3840,00:02:33.600,153.600,3840,00:02:33.600
2,2,3841,00:02:33.600,153.600,4576,00:03:03.040,183.040,736,00:00:29.440
3,3,4577,00:03:03.040,183.040,17334,00:11:33.360,693.360,12758,00:08:30.320
4,4,17335,00:11:33.360,693.360,18051,00:12:02.040,722.040,717,00:00:28.680
5,5,18052,00:12:02.040,722.040,21600,00:14:24.000,864.000,3549,00:02:21.960
6,6,21601,00:14:24.000,864.000,22073,00:14:42.920,882.920,473,00:00:18.920
7,7,22074,00:14:42.920,882.920,22907,00:15:16.280,916.280,834,00:00:33.360
8,8,22908,00:15:16.280,916.280,23213,00:15:28.520,928.520,306,00:00:12.240
9,9,23214,00:15:28.520,928.520,26368,00:17:34.720,1054.720,3155,00:02:06.200
10,10,26369,00:17:34.720,1054.720,26624,00:17:44.960,1064.960,256,00:00:10.240
11,11,26625,00:17:44.960,1064.960,27377,00:18:15.080,1095.080,753,00:00:30.120
12,12,27378,00:18:15.080,1095.080,27412,00:18:16.480,1096.480,35,00:00:01.400
